ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;INVENTORY_OPENING_BALANCE;UNIT
.1~9583;9583;E5;08;06;08/06;17/03/2021 00:00;16;76;03N;EE-T01;Milk;Trading Goods;T01;;Milk;704;ST
.1~9546;9546;E5;08;04;08/04;15/03/2021 00:00;15;74;03S;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;47;ST
.1~9316;9316;E5;07;05;07/05;06/03/2021 00:00;13;65;03;EE-T04;Cheese;Trading Goods;T04;;Cheese;528;ST
.1~9320;9320;E5;07;05;07/05;06/03/2021 00:00;13;65;03N;EE-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~9335;9335;E5;07;05;07/05;06/03/2021 00:00;13;65;03W;EE-T05;Butter;Trading Goods;T05;;Butter;54;ST
.1~9396;9396;E5;07;08;07/08;09/03/2021 00:00;14;68;03N;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;254;ST
.1~9078;9078;E5;06;05;06/05;24/02/2021 00:00;11;55;03;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;9;ST
.1~9196;9196;E5;06;10;06/10;01/03/2021 00:00;12;60;03;EE-T04;Cheese;Trading Goods;T04;;Cheese;0;ST
.1~9200;9200;E5;06;10;06/10;01/03/2021 00:00;12;60;03N;EE-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~8977;8977;E5;06;01;06/01;20/02/2021 00:00;11;51;03;EE-T01;Milk;Trading Goods;T01;;Milk;1304;ST
.1~8654;8654;E5;04;07;04/07;06/02/2021 00:00;8;37;03S;EE-T02;Cream;Trading Goods;T02;;Cream;70;ST
.1~8443;8443;E5;03;08;03/08;28/01/2021 00:00;6;28;03W;EE-T01;Milk;Trading Goods;T01;;Milk;159;ST
.1~8501;8501;E5;04;01;04/01;31/01/2021 00:00;7;31;03;EE-T05;Butter;Trading Goods;T05;;Butter;327;ST
