ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;GL_ACCOUNT_NUMBER;GL_ACCOUNT_NAME;FS_LEVEL_1;FS_LEVEL_2;FS_LEVEL_3;FS_LEVEL_4;DEBIT_CREDIT_INDICATOR;AMOUNT_ABS;AMOUNT;AMOUNT_INV;AMOUNT_BS;AMOUNT_IS;CURRENCY
.1~4251;4251;F5;06;10;06/10;01/03/2021 00:00;12;60;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;74044,42;-74044,42;74044,42;-74044.42;0.00;EUR
.1~4255;4255;F5;06;10;06/10;01/03/2021 00:00;12;60;160000;Accounts payable-domestic;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;73632,42;73632,42;-73632,42;73632.42;0.00;EUR
.1~4263;4263;F5;07;01;07/01;02/03/2021 00:00;13;61;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;19952,2;19952,2;-19952,2;19952.20;0.00;EUR
.1~4264;4264;F5;07;01;07/01;02/03/2021 00:00;13;61;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;19952,2;-19952,2;19952,2;-19952.20;0.00;EUR
.1~4267;4267;F5;07;01;07/01;02/03/2021 00:00;13;61;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;9;9;-9;0.00;-9.00;EUR
.1~4268;4268;F5;07;01;07/01;02/03/2021 00:00;13;61;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;12519,98;-12519,98;12519,98;-12519.98;0.00;EUR
.1~4272;4272;F5;07;02;07/02;03/03/2021 00:00;13;62;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;18828,54;-18828,54;18828,54;-18828.54;0.00;EUR
.1~4280;4280;F5;07;03;07/03;04/03/2021 00:00;13;63;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;15292,94;-15292,94;15292,94;-15292.94;0.00;EUR
.1~4281;4281;F5;07;03;07/03;04/03/2021 00:00;13;63;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;26469,1;26469,1;-26469,1;26469.10;0.00;EUR
.1~4288;4288;F5;07;04;07/04;05/03/2021 00:00;13;64;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;12806,72;-12806,72;12806,72;-12806.72;0.00;EUR
.1~4289;4289;F5;07;04;07/04;05/03/2021 00:00;13;64;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;9897,2;9897,2;-9897,2;9897.20;0.00;EUR
