ID;ROW_NUMBER;COMPANY_CODE;SALES_ORGANIZATION;SIM_ROUND;SIM_PERIOD;MATERIAL_DESCRIPTION;DISTRIBUTION_CHANNEL;AREA;QUANTITY;UNIT;AVERAGE_PRICE;NET_VALUE;CURRENCY
.1~291;291;E9;Market;01;1;Cheese;16;West;38;ST;103,23;3958,2;EUR
.1~301;301;E9;Market;01;1;Ice Cream;16;West;78;ST;51,5;4010,24;EUR
.1~307;307;E9;Market;01;1;Milk;16;West;394;ST;29,65;11580,06;EUR
.1~313;313;E9;Market;01;1;Yoghurt;16;West;61;ST;30,42;1855,62;EUR
.1~319;319;E9;Market;01;2;Butter;16;West;27;ST;60,47;1632,69;EUR
.1~325;325;E9;Market;01;2;Cheese;16;West;100;ST;95,5;9550;EUR
.1~331;331;E9;Market;01;2;Cream;16;West;42;ST;79,3;3306,36;EUR
.1~337;337;E9;Market;01;2;Ice Cream;16;West;32;ST;56,96;1822,72;EUR
.1~343;343;E9;Market;01;2;Milk;16;West;690;ST;29,32;20080,86;EUR
.1~349;349;E9;Market;01;2;Yoghurt;16;West;243;ST;29,71;7231,6;EUR
.1~2;2;A9;Company;01;1;Butter;16;North;32;ST;72,46;2318,72;EUR
.1~18;18;A9;Company;01;1;Ice Cream;16;North;93;ST;52,22;4856,46;EUR
.1~24;24;A9;Company;01;1;Milk;16;North;240;ST;28,47;6850,68;EUR
.1~30;30;A9;Company;01;1;Yoghurt;16;North;231;ST;32,05;7370,48;EUR
.1~36;36;A9;Company;01;2;Butter;16;North;32;ST;77,12;2467,84;EUR
.1~54;54;A9;Company;01;2;Ice Cream;16;North;7;ST;60,31;422,17;EUR
.1~60;60;A9;Company;01;2;Milk;16;North;155;ST;30,72;4730,17;EUR
.1~66;66;A9;Company;01;2;Yoghurt;16;North;3;ST;36,12;108,36;EUR
.1~72;72;B9;Company;01;1;Butter;16;North;52;ST;70,48;3664,96;EUR
.1~78;78;B9;Company;01;1;Cheese;16;North;34;ST;97,32;3308,88;EUR
.1~84;84;B9;Company;01;1;Cream;16;North;22;ST;85,36;1877,92;EUR
.1~88;88;B9;Company;01;1;Ice Cream;16;North;100;ST;50,79;5079;EUR
.1~94;94;B9;Company;01;1;Milk;16;North;398;ST;27,02;10753,96;EUR
.1~100;100;B9;Company;01;1;Yoghurt;16;North;188;ST;30,42;5718,96;EUR
.1~106;106;B9;Company;01;2;Butter;16;North;34;ST;70,48;2396,32;EUR
.1~130;130;B9;Company;01;2;Milk;16;North;81;ST;27,02;2188,62;EUR
.1~136;136;B9;Company;01;2;Yoghurt;16;North;152;ST;30,42;4623,84;EUR
.1~158;158;C9;Company;01;1;Ice Cream;16;North;67;ST;56,96;3816,32;EUR
.1~164;164;C9;Company;01;1;Milk;16;North;82;ST;30,3;2484,6;EUR
.1~176;176;C9;Company;01;2;Butter;16;North;168;ST;63,51;10671,12;EUR
.1~182;182;C9;Company;01;2;Cheese;16;North;26;ST;92,77;2412,02;EUR
.1~188;188;C9;Company;01;2;Cream;16;North;100;ST;73,24;7324;EUR
.1~194;194;C9;Company;01;2;Ice Cream;16;North;6;ST;56,96;341,76;EUR
.1~200;200;C9;Company;01;2;Milk;16;North;441;ST;30,3;13362,3;EUR
.1~206;206;C9;Company;01;2;Yoghurt;16;North;234;ST;29;6786;EUR
.1~212;212;D9;Company;01;1;Butter;16;North;44;ST;75,75;3333;EUR
.1~228;228;D9;Company;01;1;Ice Cream;16;North;100;ST;54,59;5459;EUR
.1~234;234;D9;Company;01;1;Milk;16;North;299;ST;29,04;8682,96;EUR
.1~240;240;D9;Company;01;1;Yoghurt;16;North;230;ST;32,69;7518,7;EUR
.1~270;270;D9;Company;01;2;Milk;16;North;27;ST;29,04;784,08;EUR
.1~276;276;D9;Company;01;2;Yoghurt;16;North;5;ST;30,89;154,45;EUR
.1~304;304;E9;Company;01;1;Milk;16;North;64;ST;31,56;2019,84;EUR
.1~340;340;E9;Company;01;2;Milk;16;North;65;ST;31,56;2051,4;EUR
.1~1;1;A9;Market;01;1;Butter;16;North;128;ST;72,98;9316,68;EUR
.1~7;7;A9;Market;01;1;Cheese;16;North;34;ST;97,32;3308,88;EUR
.1~13;13;A9;Market;01;1;Cream;16;North;22;ST;85,36;1877,92;EUR
.1~17;17;A9;Market;01;1;Ice Cream;16;North;360;ST;53,33;19210,78;EUR
.1~23;23;A9;Market;01;1;Milk;16;North;1083;ST;28,37;30792,04;EUR
.1~29;29;A9;Market;01;1;Yoghurt;16;North;649;ST;31,91;20608,14;EUR
.1~35;35;A9;Market;01;2;Butter;16;North;234;ST;65,8;15535,28;EUR
.1~41;41;A9;Market;01;2;Cheese;16;North;26;ST;92,77;2412,02;EUR
.1~47;47;A9;Market;01;2;Cream;16;North;100;ST;73,24;7324;EUR
.1~53;53;A9;Market;01;2;Ice Cream;16;North;13;ST;58,63;763,93;EUR
.1~59;59;A9;Market;01;2;Milk;16;North;769;ST;29,89;23116,57;EUR
.1~65;65;A9;Market;01;2;Yoghurt;16;North;394;ST;30,47;11672,65;EUR
.1~71;71;B9;Market;01;1;Butter;16;North;128;ST;72,98;9316,68;EUR
.1~77;77;B9;Market;01;1;Cheese;16;North;34;ST;97,32;3308,88;EUR
.1~83;83;B9;Market;01;1;Cream;16;North;22;ST;85,36;1877,92;EUR
.1~87;87;B9;Market;01;1;Ice Cream;16;North;360;ST;53,33;19210,78;EUR
.1~93;93;B9;Market;01;1;Milk;16;North;1083;ST;28,37;30792,04;EUR
.1~99;99;B9;Market;01;1;Yoghurt;16;North;649;ST;31,91;20608,14;EUR
.1~105;105;B9;Market;01;2;Butter;16;North;234;ST;65,8;15535,28;EUR
.1~111;111;B9;Market;01;2;Cheese;16;North;26;ST;92,77;2412,02;EUR
.1~117;117;B9;Market;01;2;Cream;16;North;100;ST;73,24;7324;EUR
.1~123;123;B9;Market;01;2;Ice Cream;16;North;13;ST;58,63;763,93;EUR
.1~129;129;B9;Market;01;2;Milk;16;North;769;ST;29,89;23116,57;EUR
.1~135;135;B9;Market;01;2;Yoghurt;16;North;394;ST;30,47;11672,65;EUR
.1~141;141;C9;Market;01;1;Butter;16;North;128;ST;72,98;9316,68;EUR
.1~147;147;C9;Market;01;1;Cheese;16;North;34;ST;97,32;3308,88;EUR
.1~153;153;C9;Market;01;1;Cream;16;North;22;ST;85,36;1877,92;EUR
.1~157;157;C9;Market;01;1;Ice Cream;16;North;360;ST;53,33;19210,78;EUR
.1~163;163;C9;Market;01;1;Milk;16;North;1083;ST;28,37;30792,04;EUR
.1~169;169;C9;Market;01;1;Yoghurt;16;North;649;ST;31,91;20608,14;EUR
.1~175;175;C9;Market;01;2;Butter;16;North;234;ST;65,8;15535,28;EUR
.1~181;181;C9;Market;01;2;Cheese;16;North;26;ST;92,77;2412,02;EUR
.1~187;187;C9;Market;01;2;Cream;16;North;100;ST;73,24;7324;EUR
.1~193;193;C9;Market;01;2;Ice Cream;16;North;13;ST;58,63;763,93;EUR
.1~199;199;C9;Market;01;2;Milk;16;North;769;ST;29,89;23116,57;EUR
.1~205;205;C9;Market;01;2;Yoghurt;16;North;394;ST;30,47;11672,65;EUR
.1~211;211;D9;Market;01;1;Butter;16;North;128;ST;72,98;9316,68;EUR
.1~217;217;D9;Market;01;1;Cheese;16;North;34;ST;97,32;3308,88;EUR
.1~223;223;D9;Market;01;1;Cream;16;North;22;ST;85,36;1877,92;EUR
.1~227;227;D9;Market;01;1;Ice Cream;16;North;360;ST;53,33;19210,78;EUR
.1~233;233;D9;Market;01;1;Milk;16;North;1083;ST;28,37;30792,04;EUR
.1~239;239;D9;Market;01;1;Yoghurt;16;North;649;ST;31,91;20608,14;EUR
.1~245;245;D9;Market;01;2;Butter;16;North;234;ST;65,8;15535,28;EUR
.1~251;251;D9;Market;01;2;Cheese;16;North;26;ST;92,77;2412,02;EUR
.1~257;257;D9;Market;01;2;Cream;16;North;100;ST;73,24;7324;EUR
.1~263;263;D9;Market;01;2;Ice Cream;16;North;13;ST;58,63;763,93;EUR
.1~269;269;D9;Market;01;2;Milk;16;North;769;ST;29,89;23116,57;EUR
.1~275;275;D9;Market;01;2;Yoghurt;16;North;394;ST;30,47;11672,65;EUR
.1~281;281;E9;Market;01;1;Butter;16;North;128;ST;72,98;9316,68;EUR
.1~287;287;E9;Market;01;1;Cheese;16;North;34;ST;97,32;3308,88;EUR
.1~293;293;E9;Market;01;1;Cream;16;North;22;ST;85,36;1877,92;EUR
.1~297;297;E9;Market;01;1;Ice Cream;16;North;360;ST;53,33;19210,78;EUR
.1~303;303;E9;Market;01;1;Milk;16;North;1083;ST;28,37;30792,04;EUR
.1~309;309;E9;Market;01;1;Yoghurt;16;North;649;ST;31,91;20608,14;EUR
.1~315;315;E9;Market;01;2;Butter;16;North;234;ST;65,8;15535,28;EUR
.1~321;321;E9;Market;01;2;Cheese;16;North;26;ST;92,77;2412,02;EUR
