ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;EVENT_TYPE;DOCUMENT_TYPE;MOVEMENT_TYPE;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;DEBIT_CREDIT_INDICATOR;UNIT;QUANTITY_ABS;QUANTITY
.1~338;338;C9;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;CC-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;138;-138
.1~334;334;C9;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;CC-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;82;-82
.1~270;270;B9;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;BB-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;60;-60
.1~72;72;A9;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;43;-43
.1~358;358;C9;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;CC-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;26;-26
.1~355;355;C9;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;58;-58
.1~354;354;C9;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;53;-53
.1~32;32;A9;01;02;01/02;02/01/2021 00:00;1;2;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;63;-63
.1~210;210;B9;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;BB-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;148;-148
.1~481;481;D9;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;DD-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;54;-54
.1~451;451;D9;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;DD-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;159;-159
.1~374;374;C9;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;CC-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;206;-206
.1~222;222;B9;01;07;01/07;07/01/2021 00:00;2;7;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;BB-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;142;-142
