ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;UNIT;QUANTITY
.1~20;20;A9;01;03;01/03;03/01/2021 00:00;1;3;03W;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~21;21;A9;01;03;01/03;03/01/2021 00:00;1;3;03N;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~43;43;A9;01;08;01/08;08/01/2021 00:00;2;8;03S;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~160;160;C9;01;08;01/08;08/01/2021 00:00;2;8;03S;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;215
.1~148;148;C9;01;03;01/03;03/01/2021 00:00;1;3;03S;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;18
.1~147;147;C9;01;03;01/03;03/01/2021 00:00;1;3;03N;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;19
.1~146;146;C9;01;03;01/03;03/01/2021 00:00;1;3;03W;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;18
.1~25;25;A9;01;03;01/03;03/01/2021 00:00;1;3;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;113
.1~26;26;A9;01;03;01/03;03/01/2021 00:00;1;3;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;114
.1~206;206;D9;01;06;01/06;06/01/2021 00:00;2;6;03S;DD-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;5
.1~205;205;D9;01;06;01/06;06/01/2021 00:00;2;6;03N;DD-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;5
.1~174;174;C9;01;10;01/10;10/01/2021 00:00;2;10;03N;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;162
.1~173;173;C9;01;10;01/10;10/01/2021 00:00;2;10;03W;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;161
.1~172;172;C9;01;10;01/10;10/01/2021 00:00;2;10;03S;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;162
.1~101;101;B9;01;04;01/04;04/01/2021 00:00;1;4;03N;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;71
.1~102;102;B9;01;04;01/04;04/01/2021 00:00;1;4;03S;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;29
.1~111;111;B9;01;09;01/09;09/01/2021 00:00;2;9;03S;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;149
.1~112;112;B9;01;09;01/09;09/01/2021 00:00;2;9;03N;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;200
